"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9200,"TB@Atl 01:00PM ET",25.143,"Atl"
"WR","DeAndre Hopkins",8700,"Ten@Hou 01:00PM ET",25.657,"Hou"
"WR","Odell Beckham Jr.",8500,"NYG@NO 01:00PM ET",17.814,"NYG"
"RB","Le'Veon Bell",8300,"Cin@Pit 01:00PM ET",22.480,"Pit"
"WR","Dez Bryant",8000,"Sea@Dal 04:25PM ET",9.800,"Dal"
"RB","Devonta Freeman",8000,"TB@Atl 01:00PM ET",28.443,"Atl"
"WR","Calvin Johnson",7900,"Det@KC 09:30AM ET",17.200,"Det"
"WR","Antonio Brown",7800,"Cin@Pit 01:00PM ET",19.957,"Pit"
"WR","Larry Fitzgerald",7700,"Ari@Cle 01:00PM ET",21.314,"Ari"
"WR","Demaryius Thomas",7700,"GB@Den 08:30PM ET",18.617,"Den"
"WR","Keenan Allen",7700,"SD@Bal 01:00PM ET",22.429,"SD"
"WR","Brandon Marshall",7600,"NYJ@Oak 04:05PM ET",22.133,"NYJ"
"WR","A.J. Green",7600,"Cin@Pit 01:00PM ET",18.183,"Cin"
"QB","Aaron Rodgers",7500,"GB@Den 08:30PM ET",22.940,"GB"
"RB","Arian Foster",7500,"Ten@Hou 01:00PM ET",19.500,"Hou"
"WR","Emmanuel Sanders",7500,"GB@Den 08:30PM ET",19.117,"Den"
"RB","Adrian Peterson",7400,"Min@Chi 01:00PM ET",16.517,"Min"
"QB","Andrew Luck",7400,"Ind@Car 08:30PM ET",22.124,"Ind"
"RB","Matt Forte",7300,"Min@Chi 01:00PM ET",18.800,"Chi"
"QB","Matt Ryan",7100,"TB@Atl 01:00PM ET",16.854,"Atl"
"RB","Marshawn Lynch",7100,"Sea@Dal 04:25PM ET",12.700,"Sea"
"QB","Carson Palmer",7000,"Ari@Cle 01:00PM ET",21.811,"Ari"
"WR","Randall Cobb",7000,"GB@Den 08:30PM ET",15.533,"GB"
"WR","T.Y. Hilton",6900,"Ind@Car 08:30PM ET",16.943,"Ind"
"QB","Cam Newton",6800,"Ind@Car 08:30PM ET",21.750,"Car"
"WR","Mike Evans",6800,"TB@Atl 01:00PM ET",13.360,"TB"
"QB","Drew Brees",6700,"NYG@NO 01:00PM ET",18.790,"NO"
"QB","Ben Roethlisberger",6700,"Cin@Pit 01:00PM ET",20.793,"Pit"
"WR","Amari Cooper",6700,"NYJ@Oak 04:05PM ET",18.517,"Oak"
"QB","Eli Manning",6600,"NYG@NO 01:00PM ET",16.834,"NYG"
"QB","Philip Rivers",6600,"SD@Bal 01:00PM ET",24.040,"SD"
"TE","Greg Olsen",6500,"Ind@Car 08:30PM ET",15.817,"Car"
"QB","Peyton Manning",6400,"GB@Den 08:30PM ET",13.593,"Den"
"RB","Mark Ingram",6400,"NYG@NO 01:00PM ET",18.500,"NO"
"WR","Alshon Jeffery",6400,"Min@Chi 01:00PM ET",22.250,"Chi"
"QB","Russell Wilson",6300,"Sea@Dal 04:25PM ET",16.974,"Sea"
"RB","Todd Gurley",6300,"SF@StL 01:00PM ET",19.425,"StL"
"WR","Jeremy Maclin",6200,"Det@KC 09:30AM ET",17.317,"KC"
"RB","Eddie Lacy",6200,"GB@Den 08:30PM ET",8.217,"GB"
"WR","Steve Smith Sr.",6100,"SD@Bal 01:00PM ET",21.133,"Bal"
"RB","Justin Forsett",6100,"SD@Bal 01:00PM ET",15.286,"Bal"
"QB","Andy Dalton",6000,"Cin@Pit 01:00PM ET",24.957,"Cin"
"RB","Chris Ivory",6000,"NYJ@Oak 04:05PM ET",20.300,"NYJ"
"RB","Latavius Murray",5900,"NYJ@Oak 04:05PM ET",15.167,"Oak"
"QB","Matthew Stafford",5800,"Det@KC 09:30AM ET",17.463,"Det"
"WR","John Brown",5800,"Ari@Cle 01:00PM ET",16.357,"Ari"
"WR","James Jones",5700,"GB@Den 08:30PM ET",17.067,"GB"
"QB","Joe Flacco",5500,"SD@Bal 01:00PM ET",17.811,"Bal"
"RB","Doug Martin",5500,"TB@Atl 01:00PM ET",18.833,"TB"
"WR","Donte Moncrief",5500,"Ind@Car 08:30PM ET",15.014,"Ind"
"QB","Marcus Mariota",5400,"Ten@Hou 01:00PM ET",17.352,"Ten"
"WR","Brandin Cooks",5400,"NYG@NO 01:00PM ET",12.629,"NO"
"QB","Brian Hoyer",5300,"Ten@Hou 01:00PM ET",19.748,"Hou"
"WR","Eric Decker",5300,"NYJ@Oak 04:05PM ET",16.060,"NYJ"
"WR","Travis Benjamin",5300,"Ari@Cle 01:00PM ET",18.071,"Cle"
"QB","Derek Carr",5300,"NYJ@Oak 04:05PM ET",17.767,"Oak"
"TE","Tyler Eifert",5300,"Cin@Pit 01:00PM ET",16.867,"Cin"
"WR","Martavis Bryant",5300,"Cin@Pit 01:00PM ET",25.150,"Pit"
"RB","Jeremy Hill",5300,"Cin@Pit 01:00PM ET",10.817,"Cin"
