playername,points
Tom Brady,22.5335675
Aaron Rodgers,22.2016425
Carson Palmer,21.55288
Matt Ryan,21.12990522
Andrew Luck,20.69591
Andy Dalton,20.45451
Eli Manning,20.3911425
Drew Brees,20.22937826
Philip Rivers,19.5522775
Sam Bradford,19.1781075
Russell Wilson,18.92162
Peyton Manning,18.1159475
Cam Newton,17.781005
Blake Bortles,17.708585
Jay Cutler,17.587885
Marcus Mariota,17.117155
Joe Flacco,16.899895
Colin Kaepernick,16.417095
Ryan Tannehill,16.43824286
Matthew Stafford,16.19171897
Broncos,11.01398727
Jets,10.73264673
Seahawks,10.33883818
Cardinals,10.30918636
Bengals,10.04003909
Packers,9.761768182
Patriots,9.321385321
Vikings,9.06381
Panthers,8.905371296
Ravens,8.760449091
Bills,8.422874546
Texans,8.269446789
Giants,7.777592453
Lions,7.649156075
Eagles,7.671078302
Titans,7.3326
Jaguars,7.122321905
Redskins,6.894754902
Browns,6.843220792
Chiefs,6.835920408
Dolphins,6.898840678
Falcons,6.808398214
Bears,6.262724528
Steelers,5.816048889
49ers,5.683828571
Chargers,5.021678947
Saints,4.909622857
Colts,4.726027778
Rams,4.5727
Cowboys,4.3218
DeAndre Hopkins,21.84408531
Le'Veon Bell,21.55413393
Julian Edelman,21.15698921
Devonta Freeman,20.65729409
Rob Gronkowski,19.46197422
Larry Fitzgerald,19.3150399
A.J. Green,19.21152269
Arian Foster,18.99155069
Adrian Peterson,18.9105919
Matt Forte,18.90711149
Julio Jones,18.84500974
Demaryius Thomas,17.90588102
Odell Beckham Jr.,17.87620081
Brandon Marshall,17.79100342
Dion Lewis,17.48546737
Randall Cobb,17.17844123
Calvin Johnson,16.98432226
Keenan Allen,16.64652437
Eddie Lacy,16.64032448
Emmanuel Sanders,16.57669306
Mark Ingram,16.51988483
Jeremy Maclin,15.82243627
Antonio Brown,15.5925394
Allen Robinson,15.41417882
T.Y. Hilton,15.39431538
Jordan Matthews,14.96651965
DeMarco Murray,14.91272636
Danny Woodhead,14.71078953
Christopher Ivory,14.67526688
Jarvis Landry,14.67083987
James Jones,14.49899174
Giovani Bernard,14.29500243
Justin Forsett,14.36739427
Willie Snead,14.18697116
Allen Hurns,14.15406362
Brandin Cooks,14.02394615
Marshawn Lynch,13.96642757
Frank Gore,13.95178746
Greg Olsen,13.88429743
Kendall Wright,13.40013333
Eric Decker,13.33871069
Antonio Gates,13.22818512
Donte Moncrief,13.15737395
Anquan Boldin,13.08484464
Duke Johnson,13.04235941
Carlos Hyde,12.99893654
Travis Kelce,12.97439921
Lamar Miller,12.89201009
Alshon Jeffery,13.20273412
John Brown,12.82649239
Martellus Bennett,12.87247897
Tyler Eifert,12.69482985
Chris Johnson,12.65889435
Golden Tate,12.64769806
Charcandrick West,12.26440641
Pierre Garcon,11.87017493
Kamar Aiken,11.83068106
Mike Wallace,11.89938357
Leonard Hankerson,11.7572715
LeGarrette Blount,11.71135347
C.J. Anderson,11.28576968
Travis Benjamin,11.20263305
Jimmy Graham,11.09999399
Gary Barnidge,11.11423599
Shane Vereen,10.98454437
Rueben Randle,11.0527445
Melvin Gordon,10.85102391
Delanie Walker,10.84744597
Charles Clay,10.66326521
Sammy Watkins,10.67279746
Marvin Jones,10.53613935
Doug Baldwin,10.52153411
Marquess Wilson,10.44959377
Jamison Crowder,10.42296608
Jeremy Hill,10.14778085
Steve Smith,11.58740117
Ameer Abdullah,10.11692338
Richard Rodgers,10.05022158
Jordan Cameron,9.933179058
Julius Thomas,9.857979666
Andre Johnson,10.02997444
C.J. Spiller,9.906496598
Torrey Smith,9.756278437
Ty Montgomery,9.729906311
Zach Ertz,9.673844944
Rishard Matthews,9.596740367
Rashad Jennings,9.329868208
Larry Donnell,9.516989717
Jacob Tamme,9.468737235
Chris Thompson,9.55376399
Ted Ginn,9.436695818
LeSean McCoy,11.33327684
Ronnie Hillman,9.198019289
Andre Ellington,9.07083945
Martavis Bryant,9.118630229
Eddie Royal,9.603218319
Michael Floyd,9.026691531
Kyle Rudolph,8.93182134
Cecil Shorts,9.391809702
Antonio Andrews,8.798098161
Darren Sproles,8.797758996
Theo Riddick,9.537566075
Isaiah Crowell,8.613279685
Dwayne Harris,8.925302209
Ryan Mathews,8.693947156
Jonathan Stewart,8.559477168
Danny Amendola,8.804571711
Roddy White,8.723602428
Stefon Diggs,8.890525042
Derek Carrier,8.593675028
Percy Harvin,9.926562608
